auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,configuration,thresholds,q_MP,q_Z,q_LOF,q_IF
0.6294539465621174,0.2840043525571273,0.359504132231405,0.31732522796352586,5883,658,465,261,919,12.646208889500482,7267,MP OR IF,MP@p97 OR IF@p90,"{'MP': 2.1274994965344325, 'IF': 0.5088267634912716}",97,,,90.0
0.6137430229242712,0.3588850174216028,0.2837465564738292,0.3169230769230769,6173,368,520,206,574,7.898720242190725,7267,MP OR LOF OR IF,MP@p98 OR LOF@p99 OR IF@p95,"{'MP': 2.1902390667101694, 'LOF': 4.376959565620132, 'IF': 0.5521145861141614}",98,,99.0,95.0
0.6366592921192579,0.26301369863013696,0.39669421487603307,0.3163097199341021,5734,807,438,288,1095,15.0681161414614,7267,MP OR Z OR IF,MP@p95 OR Z@p99 OR IF@p90,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095, 'IF': 0.5088267634912716}",95,99.0,,90.0
0.6335942853364431,0.26859903381642514,0.38292011019283745,0.31572969903463943,5784,757,448,278,1035,14.24246594192927,7267,MP OR Z OR IF,MP@p97 OR Z@p98 OR IF@p90,"{'MP': 2.1274994965344325, 'Z': 2.724585907467929, 'IF': 0.5088267634912716}",97,98.0,,90.0
0.6225580498175737,0.302915082382763,0.32920110192837465,0.31551155115511553,5991,550,487,239,789,10.85730012384753,7267,MP OR LOF OR IF,MP@p99 OR LOF@p98 OR IF@p92,"{'MP': 2.2699698509656385, 'LOF': 2.973435120910082, 'IF': 0.5192546708495505}",99,,98.0,92.0
0.6329048430687046,0.26953125,0.38016528925619836,0.31542857142857145,5793,748,450,276,1024,14.091096738681712,7267,MP OR Z OR IF,MP@p95 OR Z@p98 OR IF@p92,"{'MP': 2.0441557230389535, 'Z': 2.724585907467929, 'IF': 0.5192546708495505}",95,98.0,,92.0
0.6220986673169407,0.30318471337579617,0.3278236914600551,0.31502316346790205,5994,547,488,238,785,10.802256777212055,7267,MP OR LOF OR IF,MP@p98 OR LOF@p99 OR IF@p92,"{'MP': 2.1902390667101694, 'LOF': 4.376959565620132, 'IF': 0.5192546708495505}",98,,99.0,92.0
0.6153549153611696,0.3343701399688958,0.29614325068870523,0.3140978816654492,6113,428,511,215,643,8.848217971652677,7267,MP OR LOF OR IF,MP@p99 OR LOF@p97 OR IF@p95,"{'MP': 2.2699698509656385, 'LOF': 2.2258052829967334, 'IF': 0.5521145861141614}",99,,97.0,95.0
0.6318339332786665,0.26750972762645914,0.3787878787878788,0.31356898517673887,5788,753,451,275,1028,14.146140085317187,7267,MP OR Z OR IF,MP@p98 OR Z@p97 OR IF@p90,"{'MP': 2.1902390667101694, 'Z': 2.5133716943799493, 'IF': 0.5088267634912716}",98,97.0,,90.0
0.6148955328605369,0.3348982785602504,0.29476584022038566,0.31355311355311355,6116,425,512,214,639,8.793174625017201,7267,MP OR LOF OR IF,MP@p97 OR LOF@p99 OR IF@p95,"{'MP': 2.1274994965344325, 'LOF': 4.376959565620132, 'IF': 0.5521145861141614}",97,,99.0,95.0
0.625549563823528,0.2842696629213483,0.3484848484848485,0.3131188118811881,5904,637,473,253,890,12.247144626393284,7267,MP OR Z OR IF,MP@p95 OR Z@p97 OR IF@p95,"{'MP': 2.0441557230389535, 'Z': 2.5133716943799493, 'IF': 0.5521145861141614}",95,97.0,,95.0
0.6022496160055054,0.4774011299435028,0.2327823691460055,0.31296296296296294,6356,185,557,169,354,4.871336177239576,7267,MP OR Z OR IF,MP@p99 OR Z@p99 OR IF@p97,"{'MP': 2.2699698509656385, 'Z': 3.0736821262882095, 'IF': 0.5959098956330237}",99,99.0,,97.0
0.6237870006650148,0.2895662368112544,0.3402203856749311,0.3128562381253958,5935,606,479,247,853,11.737993670015136,7267,MP OR LOF OR IF,MP@p99 OR LOF@p97 OR IF@p92,"{'MP': 2.2699698509656385, 'LOF': 2.2258052829967334, 'IF': 0.5192546708495505}",99,,97.0,92.0
